QuoteId,MinPrice,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
80,60033,False,838,43268,65698,2017-05-04T00:00:00,838,65698,43268,2017-05-12T00:00:00,2017-04-15T14:51:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Air France,Air France
81,21737,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-07T11:59:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
82,51383,True,885,43268,81678,2017-05-04T00:00:00,881,65698,43268,2017-05-15T00:00:00,2017-04-13T09:27:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Flybe,British Airways
83,37664,True,885,43268,81678,2017-05-04T00:00:00,885,81678,43268,2017-05-16T00:00:00,2017-04-15T17:31:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
84,29593,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-18T00:00:00,2017-04-16T12:37:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
85,71246,True,1050,43268,65655,2017-05-04T00:00:00,1050,65655,43268,2017-05-19T00:00:00,2017-04-16T09:40:00,BUD,Budapest,Station,LGW,London Gatwick,Station,easyJet,easyJet
86,55685,False,1050,43268,65655,2017-05-04T00:00:00,1218,65655,43268,2017-05-19T00:00:00,2017-04-16T09:40:00,BUD,Budapest,Station,LGW,London Gatwick,Station,easyJet,Iberia
87,35780,True,885,43268,81678,2017-05-04T00:00:00,885,81678,43268,2017-05-20T00:00:00,2017-04-13T10:08:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
88,51316,False,885,43268,81678,2017-05-04T00:00:00,1001,65655,43268,2017-05-22T00:00:00,2017-04-13T08:52:00,BUD,Budapest,Station,LGW,London Gatwick,Station,Flybe,Norwegian
89,30311,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-28T00:00:00,2017-04-02T09:43:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
93,24894,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-05T00:00:00,2017-04-05T22:20:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
94,16153,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-06T09:37:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
