QuoteId,MinPrice,Currency,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
95,17911,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-17T03:54:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
96,19081,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-13T15:48:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
97,91374,HUF,False,1218,43268,66270,2017-05-05T00:00:00,1218,66270,43268,2017-05-11T00:00:00,2017-04-06T16:56:00,BUD,Budapest,Station,LTN,London Luton,Station,Iberia,Iberia
98,24894,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-12T00:00:00,2017-04-05T16:41:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
99,38531,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:02:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
100,31169,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-15T00:00:00,2017-04-11T14:58:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
101,54404,HUF,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-16T00:00:00,2017-04-12T17:57:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
102,54155,HUF,False,1384,43268,65698,2017-05-05T00:00:00,1384,65698,43268,2017-05-16T00:00:00,2017-04-16T16:14:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Swiss,Swiss
103,58322,HUF,False,1523,43268,65698,2017-05-05T00:00:00,1523,65698,43268,2017-05-17T00:00:00,2017-04-03T12:33:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Austrian Airlines,Austrian Airlines
104,53955,HUF,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-18T00:00:00,2017-04-05T05:48:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
105,21863,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-19T00:00:00,2017-04-03T12:34:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
106,29014,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-20T00:00:00,2017-04-16T21:40:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
107,78529,HUF,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-30T00:00:00,2017-04-16T17:09:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
